,name,rank,target,type,base_damage,upgraded_damage,base_crit,upgraded_crit,base_self,upgraded_self,base_cooldown,upgraded_cooldown,base_effect,upgraded_effect,target_restriction,notes,hero_id,base_uses,upgraded_uses,path_name,skill_name,hero_name
243,The Burning Stars (Warlock),ooo.,oooo,ranged,10-18,12-22,0.1,0.15,,,0,0, ''Requires Self {{UncheckedPower}} x2''<br /> {{Block|ignore}}<br /> {{Combo}} }},,,,Occ,inf,inf,Warlock,The Burning Stars,Occultist
244,Chaotic Offering,oooo,self,buff,,,0.0,0.0," Requires {{HP2}} > 15%<br> 15% {{HP2}} DMG <br />{{UncheckedPower}}<br /> <span class""debuff-dd2"">Random Side Effect</span><br /> {{Buff2}} On Turn Start: Add {{UncheckedPower}} (3 Turns)"," Requires {{HP2}} > 10%<br> 10% {{HP2}} DMG <br />{{UncheckedPower}}<br /> <span class""debuff-dd2"">Random Side Effect</span><br /> {{Buff2}} On Turn Start: Add {{UncheckedPower}} (3 Turns)",3,2,,,,A side effect will be randomly chosen from the following list:  * {{Burn2|2}} (20%)  * {{Move2|shuffle}} (18%)  * {{Daze|-}} (18%)  * {{Weak|-}} (18%)  * {{Taunt|-}} (18%)  * {{Stealth2|-}} (4%)  * {{StunToken|-}} (4%)   The side effect may be resisted.,Occ,inf,inf,Wanderer,Chaotic Offering,Occultist
223,Abyssal Artillery,oo..,..o-o,ranged,3-6,4-7,0.05,0.1,,,0,0,{{Combo}} (25%), {{Combo}} (33%)<br /> {{StunToken}} When Self {{UncheckedPower}} x2,,,Occ,inf,inf,Aspirant,Abyssal Artillery,Occultist
228,Wyrd Reconstruction,oooo,oooo,heal,,,0.05,0.1,,,0,0," Requires {{HP2}} < 50%<br /> <span class""buff-dd2"">+100% CRIT Heal</span> when {{UncheckedPower}}x2<br> {{HP2|heal|0-33%}}<br> {{Bleed2|3}} (50%)<br />"," Requires {{HP2}} < 50%<br /> <span class""buff-dd2"">+100% CRIT Heal</span> when {{UncheckedPower}}x2<br> {{HP2|heal|0-50%}}<br> {{Bleed2|2}} (50%)<br />",," Wyrd Reconstruction has a number of unique interactions with [[Critical Heal (Darkest Dungeon II)|critical healing]]:  * The critical heal does not use the maximum value of the skill as in the case of a critical attack, but the randomly rolled value. This means that it is possible to roll a critical heal for 0% of the target's health while simultaneously {{Bleed2|bleeding}} the target. * A critical heal restores 200% of randomly rolled amount instead of the usual 150%. * The upgraded version of this skill is the only heal in the game that has a 10% chance to critically heal instead of the usual 5%.",Occ,inf,inf,Aspirant,Wyrd Reconstruction,Occultist
230,Daemon's Pull,ooo.,..oo,ranged,2-5,3-6,0.05,0.0,,,0,0," {{Move2|pull|2}}<br /> {{Combo}}<br /> <span class""death"">Clear All Corpses</span>"," {{Move2|pull|3}}<br /> {{Combo}}<br /> {{StunToken}} when Self {{UncheckedPower}} x2 <span class""death"">Clear All Corpses</span> }}",,,Occ,inf,inf,Aspirant,Daemon's Pull,Occultist
242,The Burning Stars,ooo.,oooo,ranged,8-16,12-18,0.1,0.15,,,0,0, ''Requires Self {{UncheckedPower}} x2'' {{Block|ignore}}<br /> {{Combo}},,,,Occ,inf,inf,Aspirant,The Burning Stars,Occultist
244,Chaotic Offering,oooo,self,buff,,,0.0,0.0," Requires {{HP2}} > 15%<br> 15% {{HP2}} DMG <br />{{UncheckedPower}}<br /> <span class""debuff-dd2"">Random Side Effect</span><br /> {{Buff2}} On Turn Start: Add {{UncheckedPower}} (3 Turns)"," Requires {{HP2}} > 10%<br> 10% {{HP2}} DMG <br />{{UncheckedPower}}<br /> <span class""debuff-dd2"">Random Side Effect</span><br /> {{Buff2}} On Turn Start: Add {{UncheckedPower}} (3 Turns)",3,2,,,,A side effect will be randomly chosen from the following list:  * {{Burn2|2}} (20%)  * {{Move2|shuffle}} (18%)  * {{Daze|-}} (18%)  * {{Weak|-}} (18%)  * {{Taunt|-}} (18%)  * {{Stealth2|-}} (4%)  * {{StunToken|-}} (4%)   The side effect may be resisted.,Occ,inf,inf,Aspirant,Chaotic Offering,Occultist
221,Sacrificial Stab,.ooo,ooo.,melee,3-6,4-8,0.15,0.2, {{UncheckedPower}} When Target {{Combo}}, {{UncheckedPower}} When Target {{Combo}}<br />,0,0,," {{Execution|1}}<br><span class""buff-dd2"">Gain on Killing Blow:</span> {{UncheckedPower}}",,,Occ,inf,inf,Warlock,Sacrificial Stab,Occultist
225,Weakening Curse,oooo,oooo,ranged,,,0.05,0.1,,,1,0,"{{Combo}}, {{Weak|2}}", {{Combo}}<br>Remove {{Crit}}{{Strength}}<br>{{Weak|2}} ,,,Occ,inf,inf,Warlock,Weakening Curse,Occultist
228,Wyrd Reconstruction,oooo,oooo,heal,,,0.05,0.1,,,0,0," Requires {{HP2}} < 50%<br /> <span class""buff-dd2"">+100% CRIT Heal</span> when {{UncheckedPower}}x2<br> {{HP2|heal|0-33%}}<br> {{Bleed2|3}} (50%)<br />"," Requires {{HP2}} < 50%<br /> <span class""buff-dd2"">+100% CRIT Heal</span> when {{UncheckedPower}}x2<br> {{HP2|heal|0-50%}}<br> {{Bleed2|2}} (50%)<br />",," Wyrd Reconstruction has a number of unique interactions with [[Critical Heal (Darkest Dungeon II)|critical healing]]:  * The critical heal does not use the maximum value of the skill as in the case of a critical attack, but the randomly rolled value. This means that it is possible to roll a critical heal for 0% of the target's health while simultaneously {{Bleed2|bleeding}} the target. * A critical heal restores 200% of randomly rolled amount instead of the usual 150%. * The upgraded version of this skill is the only heal in the game that has a 10% chance to critically heal instead of the usual 5%.",Occ,inf,inf,Warlock,Wyrd Reconstruction,Occultist
232,Vulnerability Hex,oooo,oooo,ranged,,,0.05,0.1,,,1,0, {{Dodge|ignore}}<br /> {{Dodge|remove}}<br /> {{Vuln|2}}, {{Dodge|ignore}}<br /> Remove {{Dodge}}{{Block}}<br />  {{Vuln|2}},,,Occ,inf,inf,Warlock,Vulnerability Hex,Occultist
235,Binding Shadows,ooo.,ooo.,melee,3-6,4-8,0.1,0.15,{{UncheckedPower}} (50%),{{UncheckedPower}} (66%),0,0, {{Debuff2}}: {{Debuff2|res|-10}} When Target {{Combo}}, {{Debuff2}}: {{Debuff2|res|-10}} When Target {{Combo}},,The {{Debuff2|-}} cannot be resisted.,Occ,inf,inf,Warlock,Binding Shadows,Occultist
237,Malediction,oooo,oooo,ranged,,,0.1,0.15,,,0,0, ''Requires Self {{UncheckedPower}}x2''<br /> {{Debuff2}}  When Damaged:<br> {{Bleed2|2}} or {{Blight2|2}} or {{Burn2|2}} (3 Rounds), ''Requires Self {{UncheckedPower}}x2''<br /> {{DoT2|res|-20}}<br> {{Debuff2}}  When Damaged:<br> {{Bleed2|2}} or {{Blight2|2}} or {{Burn2|2}} (3 Rounds),,,Occ,inf,inf,Warlock,Malediction,Occultist
240,Anamnesis,..oo,o-o-o-o,melee,1-2,1-3,0.05,0.0,,,0,0, ''Requires Self {{UncheckedPower}} x2''<br /> {{Bleed2|3}}, ''Requires Self {{UncheckedPower}} x2''<br /> {{Bleed2|4}},,,Occ,inf,inf,Warlock,Anamnesis,Occultist
244,Chaotic Offering,oooo,self,buff,,,0.0,0.0," Requires {{HP2}} > 15%<br> 15% {{HP2}} DMG <br />{{UncheckedPower}}<br /> <span class""debuff-dd2"">Random Side Effect</span><br /> {{Buff2}} On Turn Start: Add {{UncheckedPower}} (3 Turns)"," Requires {{HP2}} > 10%<br> 10% {{HP2}} DMG <br />{{UncheckedPower}}<br /> <span class""debuff-dd2"">Random Side Effect</span><br /> {{Buff2}} On Turn Start: Add {{UncheckedPower}} (3 Turns)",3,2,,,,A side effect will be randomly chosen from the following list:  * {{Burn2|2}} (20%)  * {{Move2|shuffle}} (18%)  * {{Daze|-}} (18%)  * {{Weak|-}} (18%)  * {{Taunt|-}} (18%)  * {{Stealth2|-}} (4%)  * {{StunToken|-}} (4%)   The side effect may be resisted.,Occ,inf,inf,Warlock,Chaotic Offering,Occultist
221,Sacrificial Stab,.ooo,ooo.,melee,3-6,4-8,0.15,0.2, {{UncheckedPower}} When Target {{Combo}}, {{UncheckedPower}} When Target {{Combo}}<br />,0,0,," {{Execution|1}}<br><span class""buff-dd2"">Gain on Killing Blow:</span> {{UncheckedPower}}",,,Occ,inf,inf,Ritualist,Sacrificial Stab,Occultist
223,Abyssal Artillery,oo..,..o-o,ranged,3-6,4-7,0.05,0.1,,,0,0,{{Combo}} (25%), {{Combo}} (33%)<br /> {{StunToken}} When Self {{UncheckedPower}} x2,,,Occ,inf,inf,Ritualist,Abyssal Artillery,Occultist
230,Daemon's Pull,ooo.,..oo,ranged,2-5,3-6,0.05,0.0,,,0,0," {{Move2|pull|2}}<br /> {{Combo}}<br /> <span class""death"">Clear All Corpses</span>"," {{Move2|pull|3}}<br /> {{Combo}}<br /> {{StunToken}} when Self {{UncheckedPower}} x2 <span class""death"">Clear All Corpses</span> }}",,,Occ,inf,inf,Ritualist,Daemon's Pull,Occultist
235,Binding Shadows,ooo.,ooo.,melee,3-6,4-8,0.1,0.15,{{UncheckedPower}} (50%),{{UncheckedPower}} (66%),0,0, {{Debuff2}}: {{Debuff2|res|-10}} When Target {{Combo}}, {{Debuff2}}: {{Debuff2|res|-10}} When Target {{Combo}},,The {{Debuff2|-}} cannot be resisted.,Occ,inf,inf,Ritualist,Binding Shadows,Occultist
240,Anamnesis,..oo,o-o-o-o,melee,1-2,1-3,0.05,0.0,,,0,0, ''Requires Self {{UncheckedPower}} x2''<br /> {{Bleed2|3}}, ''Requires Self {{UncheckedPower}} x2''<br /> {{Bleed2|4}},,,Occ,inf,inf,Ritualist,Anamnesis,Occultist
242,The Burning Stars,ooo.,oooo,ranged,8-16,12-18,0.1,0.15,,,0,0, ''Requires Self {{UncheckedPower}} x2'' {{Block|ignore}}<br /> {{Combo}},,,,Occ,inf,inf,Ritualist,The Burning Stars,Occultist
244,Chaotic Offering,oooo,self,buff,,,0.0,0.0," Requires {{HP2}} > 15%<br> 15% {{HP2}} DMG <br />{{UncheckedPower}}<br /> <span class""debuff-dd2"">Random Side Effect</span><br /> {{Buff2}} On Turn Start: Add {{UncheckedPower}} (3 Turns)"," Requires {{HP2}} > 10%<br> 10% {{HP2}} DMG <br />{{UncheckedPower}}<br /> <span class""debuff-dd2"">Random Side Effect</span><br /> {{Buff2}} On Turn Start: Add {{UncheckedPower}} (3 Turns)",3,2,,,,A side effect will be randomly chosen from the following list:  * {{Burn2|2}} (20%)  * {{Move2|shuffle}} (18%)  * {{Daze|-}} (18%)  * {{Weak|-}} (18%)  * {{Taunt|-}} (18%)  * {{Stealth2|-}} (4%)  * {{StunToken|-}} (4%)   The side effect may be resisted.,Occ,inf,inf,Ritualist,Chaotic Offering,Occultist
195,Crush,..oo,ooo.,melee,4-6,5-7,0.05,0.0, {{HP2|heal|10%}} When Target {{Combo}}, {{HP2|heal|20%}} When Target {{Combo}},0,0,,,,,MAA,inf,inf,Wanderer,Crush,Man-at-Arms
196,Crush (Sergeant),ooo.,oo..,melee,4-6,5-7,0.05,0.0," <span class""buff-dd2"">All Allies Ahead:</span> {{HP2|heal|2}}"," {{Immob}}<br><span class""buff-dd2"">All Allies Ahead:</span> {{HP2|heal|2}} }}",0,0,,,,,MAA,inf,inf,Sergeant,Crush,Man-at-Arms
197,Rampart,.ooo,oo..,melee,3-5,4-6,0.05,0.0,{{Move2|forward|1}},,0,0, {{Move2|knockback|1}}<br>{{Daze2}}, {{Move2|knockback|1}}<br>{{Daze2}}<br>{{StunToken}} When Target {{Combo}},,,MAA,inf,inf,Wanderer,Rampart,Man-at-Arms
198,Rampart (Bulwark),.ooo,oo..,melee,3-5,4-6,0.05,0.1, {{Move2|forward|1}}, {{Move2|forward|1}},0,0, {{Move2|knockback|1}}<br>{{Block}}{{Block}}: Inflicts {{Immob|2}}," {{Move2|knockback|1}}<br>{{Block}}{{Block}}: Inflicts {{Immob|2}}<br>{{Block}}{{Block}}{{Block}}:<span class""buff-dd2"">+30%</span> {{Move2}}{{Debuff2}} RES Piercing",,"When consuming {{Block}} or {{Block+}} tokens to buff the skill, {{Block}} tokens will be consumed first. }}",MAA,inf,inf,Bulwark,Rampart,Man-at-Arms
199,Defender,oooo,oooo,buff,,,0.0,0.0,{{Block|2}},{{Block+|2}},1,0,{{Guard2|2}},{{Guard2|3}},Ally,,MAA,inf,inf,Wanderer,Defender,Man-at-Arms
200,Bolster,oooo,oooo,buff,,,0.0,0.0, {{Block}}<br>Stress 5+: {{Stress2|-1}}, {{Block+}}<br>Stress 5+: {{Stress2|-2}},1,0, Stress 5+: {{Stress2|-1}}, Stress 5+: {{Stress2|-2}},Ally,,MAA,inf,inf,Wanderer,Bolster,Man-at-Arms
201,Hold the Line,ooo.,oo..,melee,3-6,4-7,0.1,0.0," {{Block}}, {{Immob}}<br>{{Move2|forward|3}}"," {{Block|2}}, {{Immob|2}}<br>{{Move2|forward|3}}",0,0,,{{StunToken}} When Target {{Combo}} ,,,MAA,inf,inf,Wanderer,Hold the Line,Man-at-Arms
202,Hold the Line (Bulwark),ooo.,oo..,melee,3-6,4-7,0.1,0.15, {{Move2|forward|3}}<br>{{Block}}, {{Move2|forward|3}}<br>{{Block+}},0,0, {{Block}}{{Block}}: Inflicts {{StunToken}}, {{Block}}{{Block}}: Inflicts {{StunToken}}<br>{{Block}}{{Block}}{{Block}}: {{Stun2|pierce|30}},,"When consuming {{Block}} or {{Block+}} tokens to buff the skill, {{Block}} tokens will be consumed first. }}",MAA,inf,inf,Bulwark,Hold the Line,Man-at-Arms
203,Bellow,oooo,o-o-o-o,ranged,,,0.05,0.0,,,1,0, Remove {{Riposte2}}<br>{{Debuff2}}{{Speed2|-2}} (3 Turns)," Remove {{Riposte2}}, {{Crit}}<br>{{Debuff2}}{{Speed2|-3}} (3 Turns)",,,MAA,inf,inf,Wanderer,Bellow,Man-at-Arms
204,Bellow (Sergeant),ooo.,o-o-o-o,buff,,,0.0,0.0,,,2,0," <span class""buff-dd2"">All Allies Ahead:</span><br>{{Buff2}}{{Speed2|+3}} (3 Turns)"," <span class""buff-dd2"">All Allies Ahead:</span><br>Remove 1 <span class""debuff-dd2"">Negative</span> Token<br>{{Buff2}}{{Speed2|+3}} (3 Turns) }}",,,MAA,inf,inf,Sergeant,Bellow,Man-at-Arms
205,Bellow (Bulwark),oooo,o-o-o-o,ranged,,,0.0,0.0,,,1,0," Remove {{Strength}}, {{Riposte2}}"," Remove {{Strength}}, {{Riposte2}}, {{Crit}} }}",,,MAA,inf,inf,Bulwark,Bellow,Man-at-Arms
206,Bellow (Vanguard),oooo,self,buff,,,0.0,0.0," {{Stress2|+2}}<br>Add 2 Stacks of each Vanguard <span class""buff-dd2"">Buff</span><br>Add 2 Stacks of each Vanguard <span class""debuff-dd2"">Debuff</span>"," {{Stress2|+1}}<br>Add 2 Stacks of each Vanguard <span class""buff-dd2"">Buff</span><br>Add 2 Stacks of each Vanguard <span class""debuff-dd2"">Debuff</span><br>At Full Stack: {{Buff2}} Ignore Vanguard <span class""debuff-dd2"">Debuffs</span> (4 Turns)",1,0,,,,[[#Courageous Abandon (Vanguard)|Courageous Abandon]] buffs and debuffs will only be applied if the skill is equipped. }},MAA,inf,inf,Vanguard,Bellow,Man-at-Arms
207,Retribution,oooo,self,buff,,,0.0,0.0,"{{Riposte2|2}}, {{Taunt}} x2","{{Riposte2|2}}, {{Taunt}} x2",2,1,,,,,MAA,inf,inf,Wanderer,Retribution,Man-at-Arms
208,Retribution (Sergeant),ooo.,o-o-o-o,buff,,,0.0,0.0,,,2,0," <span class""buff-dd2"">All Allies Ahead:</span>{{Strength}} When {{HP2}} Under 75% "," <span class""buff-dd2"">All Allies Ahead:</span>{{Strength}} When {{HP2}} Under 100%<br><span class""buff-dd2"">All Allies Ahead:</span>{{Crit}} When {{HP2}} Under 25% }}",,,MAA,inf,inf,Sergeant,Retribution,Man-at-Arms
209,Command,oooo,oooo,buff,,,0.0,0.0,,,1,0, {{Blind|remove}}<br>{{Strength}}, {{Blind|remove}}<br>{{Strength|2}},Ally,,MAA,inf,inf,Wanderer,Command,Man-at-Arms
210,Command (Sergeant),oooo,oooo,buff,,,0.0,0.0,,,1,0," {{Buff2}} <span class""buff-dd2"">Next Hit Applies:</span> {{Combo}} (1 Battle)"," {{SpeedToken}}<br>{{Buff2}} <span class""buff-dd2"">Next Hit Applies</span> {{Combo}} (1 Battle)",,<i></i>  * The buff will remain on the hero until a successful hit is registered. * {{Combo|-}} will be applied to all targets struck by the hero's next skill. }},MAA,inf,inf,Sergeant,Command,Man-at-Arms
211,Stand Fast,..oo,self,buff,,,0.0,0.0," {{Block|2}}, {{Taunt|2}}<br>{{Buff2}} <span class""buff-dd2"">Turn Start:</span> {{Block}} (3 Turns)"," {{Block+|2}}, {{Taunt|2}}<br>{{Buff2}} <span class""buff-dd2"">Turn Start:</span> {{Block+}} (3 Turns)",3,0,,,,,MAA,inf,inf,Wanderer,Stand Fast,Man-at-Arms
212,Stand Fast (Sergeant),oooo,oooo,buff,,,0.0,0.0,,,2,0, {{Buff2}} {{DoT2|res|+30}} (3 Turns)<br>{{Buff2}} {{Move2|res|+35}} (3 Turns), {{Buff2}} {{DoT2|res|+50}} (3 Turns)<br>{{Buff2}} {{Move2|res|+70}} (3 Turns) }},,,MAA,inf,inf,Sergeant,Stand Fast,Man-at-Arms
213,Stand Fast (Bulwark),oooo,self,buff,,,0.0,0.0," {{Block|2}}<br>{{Buff2}} <span class""buff-dd2"">Turn Start:</span> {{Block}} (3 Turns)"," {{Combo|remove}}<br>{{Block+|2}}<br>{{Buff2}}<span class""buff-dd2"">Turn Start:</span> {{Block+}} (3 Turns) }}",2,0,,,,,MAA,inf,inf,Bulwark,Stand Fast,Man-at-Arms
214,Stand Fast (Vanguard),.ooo,self,buff,,,0.0,0.0," Remove all Vanguard <span class""buff-dd2"">Buffs</span> and <span class""debuff-dd2"">Debuffs</span><br>{{HP2|heal|10%}} per 2 {{Buff2}} removed"," Remove all Vanguard <span class""buff-dd2"">Buffs</span> and <span class""debuff-dd2"">Debuffs</span><br>{{HP2|heal|10%}} per 2 {{Buff2}} removed<br>{{Stress2|-1}} per 2 {{Debuff2}} removed",3,0,,,,"Vanguard Buffs and Debuffs may stack up to 10 times (5 for each skill), so Stand Fast can heal up to {{HP2|50%}}, and {{Stress2|-5}} when fully upgraded. }}",MAA,inf,inf,Vanguard,Stand Fast,Man-at-Arms
215,Courageous Abandon,...o,oo..,melee,6-8,8-10,0.1,0.2, Remove {{Block}}<br>{{Vuln}}<br>{{Debuff2}} Cannot Gain {{Block}} (2 Turns),,0,0, Requires Self {{Block}}<br>{{Block|ignore}}<br>{{Block}}{{Block}}: Deals +100% DMG, Requires Self {{Block}}<br>{{Block|ignore}}<br>{{Block}}{{Block}}: Deals +100% DMG<br>{{Block}}{{Block}}{{Block}}: {{Execution|2}},,,MAA,inf,inf,Wanderer,Courageous Abandon,Man-at-Arms
216,Courageous Abandon (Vanguard),..oo,oo..,melee,4-6,,0.05,0.15," {{Buff2}} This Skill Gains <span class""buff-dd2"">+2 DMG</span> (1 Battle) {{Debuff2}} {{HP2|-6 Max}} Effects stack up to 3 times."," {{Buff2}} This Skill Gains <span class""buff-dd2"">+2 DMG</span> (1 Battle) {{Debuff2}} {{HP2|-4 Max}} Effects stack up to 5 times. }}",0,0,,,,,MAA,inf,inf,Vanguard,Courageous Abandon,Man-at-Arms
217,Strategic Withdrawal,..oo,oo..,melee,3-6,4-7,0.05,0.1, {{Move2|back|1}}," {{Move2|back|1}}<br>{{SpeedToken}}<br> {{Block+}}, {{HP2|heal|33%}} While on <span class""death-dd2>Death's Door</span>",1,0,{{Combo}},,,,MAA,inf,inf,Wanderer,Strategic Withdrawal,Man-at-Arms
218,''Riposte Attack'',oooo,oooo,melee,3-5,,0.05,0.0,,,0,0,,,,{{Riposte2Desc}},MAA,inf,inf,Wanderer,''Riposte Attack'',Man-at-Arms
219,''Riposte Attack'' (Bulwark),oooo,oooo,melee,3-5,,0.05,0.0,,,0,0,{{Daze2}} (33%),,,{{Riposte2Desc}} }},MAA,inf,inf,Bulwark,''Riposte Attack'',Man-at-Arms
220,''Riposte Attack'' (Vanguard),oooo,oooo,melee,3-5,,0.05,0.0," <span class""buff-dd2"">+1</span> DMG (1 Battle)<br>{{Debuff2}}{{DoT2|res|-8}} (1 Battle)<br>Stack up to 5 times.",,0,0,,,,{{Riposte2Desc}} }},MAA,inf,inf,Vanguard,''Riposte Attack'',Man-at-Arms
197,Rampart,.ooo,oo..,melee,3-5,4-6,0.05,0.0,{{Move2|forward|1}},,0,0, {{Move2|knockback|1}}<br>{{Daze2}}, {{Move2|knockback|1}}<br>{{Daze2}}<br>{{StunToken}} When Target {{Combo}},,,MAA,inf,inf,Sergeant,Rampart,Man-at-Arms
199,Defender,oooo,oooo,buff,,,0.0,0.0,{{Block|2}},{{Block+|2}},1,0,{{Guard2|2}},{{Guard2|3}},Ally,,MAA,inf,inf,Sergeant,Defender,Man-at-Arms
200,Bolster,oooo,oooo,buff,,,0.0,0.0, {{Block}}<br>Stress 5+: {{Stress2|-1}}, {{Block+}}<br>Stress 5+: {{Stress2|-2}},1,0, Stress 5+: {{Stress2|-1}}, Stress 5+: {{Stress2|-2}},Ally,,MAA,inf,inf,Sergeant,Bolster,Man-at-Arms
201,Hold the Line,ooo.,oo..,melee,3-6,4-7,0.1,0.0," {{Block}}, {{Immob}}<br>{{Move2|forward|3}}"," {{Block|2}}, {{Immob|2}}<br>{{Move2|forward|3}}",0,0,,{{StunToken}} When Target {{Combo}} ,,,MAA,inf,inf,Sergeant,Hold the Line,Man-at-Arms
215,Courageous Abandon,...o,oo..,melee,6-8,8-10,0.1,0.2, Remove {{Block}}<br>{{Vuln}}<br>{{Debuff2}} Cannot Gain {{Block}} (2 Turns),,0,0, Requires Self {{Block}}<br>{{Block|ignore}}<br>{{Block}}{{Block}}: Deals +100% DMG, Requires Self {{Block}}<br>{{Block|ignore}}<br>{{Block}}{{Block}}: Deals +100% DMG<br>{{Block}}{{Block}}{{Block}}: {{Execution|2}},,,MAA,inf,inf,Sergeant,Courageous Abandon,Man-at-Arms
217,Strategic Withdrawal,..oo,oo..,melee,3-6,4-7,0.05,0.1, {{Move2|back|1}}," {{Move2|back|1}}<br>{{SpeedToken}}<br> {{Block+}}, {{HP2|heal|33%}} While on <span class""death-dd2>Death's Door</span>",1,0,{{Combo}},,,,MAA,inf,inf,Sergeant,Strategic Withdrawal,Man-at-Arms
218,''Riposte Attack'',oooo,oooo,melee,3-5,,0.05,0.0,,,0,0,,,,{{Riposte2Desc}},MAA,inf,inf,Sergeant,''Riposte Attack'',Man-at-Arms
195,Crush,..oo,ooo.,melee,4-6,5-7,0.05,0.0, {{HP2|heal|10%}} When Target {{Combo}}, {{HP2|heal|20%}} When Target {{Combo}},0,0,,,,,MAA,inf,inf,Bulwark,Crush,Man-at-Arms
199,Defender,oooo,oooo,buff,,,0.0,0.0,{{Block|2}},{{Block+|2}},1,0,{{Guard2|2}},{{Guard2|3}},Ally,,MAA,inf,inf,Bulwark,Defender,Man-at-Arms
200,Bolster,oooo,oooo,buff,,,0.0,0.0, {{Block}}<br>Stress 5+: {{Stress2|-1}}, {{Block+}}<br>Stress 5+: {{Stress2|-2}},1,0, Stress 5+: {{Stress2|-1}}, Stress 5+: {{Stress2|-2}},Ally,,MAA,inf,inf,Bulwark,Bolster,Man-at-Arms
207,Retribution,oooo,self,buff,,,0.0,0.0,"{{Riposte2|2}}, {{Taunt}} x2","{{Riposte2|2}}, {{Taunt}} x2",2,1,,,,,MAA,inf,inf,Bulwark,Retribution,Man-at-Arms
209,Command,oooo,oooo,buff,,,0.0,0.0,,,1,0, {{Blind|remove}}<br>{{Strength}}, {{Blind|remove}}<br>{{Strength|2}},Ally,,MAA,inf,inf,Bulwark,Command,Man-at-Arms
215,Courageous Abandon,...o,oo..,melee,6-8,8-10,0.1,0.2, Remove {{Block}}<br>{{Vuln}}<br>{{Debuff2}} Cannot Gain {{Block}} (2 Turns),,0,0, Requires Self {{Block}}<br>{{Block|ignore}}<br>{{Block}}{{Block}}: Deals +100% DMG, Requires Self {{Block}}<br>{{Block|ignore}}<br>{{Block}}{{Block}}: Deals +100% DMG<br>{{Block}}{{Block}}{{Block}}: {{Execution|2}},,,MAA,inf,inf,Bulwark,Courageous Abandon,Man-at-Arms
217,Strategic Withdrawal,..oo,oo..,melee,3-6,4-7,0.05,0.1, {{Move2|back|1}}," {{Move2|back|1}}<br>{{SpeedToken}}<br> {{Block+}}, {{HP2|heal|33%}} While on <span class""death-dd2>Death's Door</span>",1,0,{{Combo}},,,,MAA,inf,inf,Bulwark,Strategic Withdrawal,Man-at-Arms
195,Crush,..oo,ooo.,melee,4-6,5-7,0.05,0.0, {{HP2|heal|10%}} When Target {{Combo}}, {{HP2|heal|20%}} When Target {{Combo}},0,0,,,,,MAA,inf,inf,Vanguard,Crush,Man-at-Arms
197,Rampart,.ooo,oo..,melee,3-5,4-6,0.05,0.0,{{Move2|forward|1}},,0,0, {{Move2|knockback|1}}<br>{{Daze2}}, {{Move2|knockback|1}}<br>{{Daze2}}<br>{{StunToken}} When Target {{Combo}},,,MAA,inf,inf,Vanguard,Rampart,Man-at-Arms
199,Defender,oooo,oooo,buff,,,0.0,0.0,{{Block|2}},{{Block+|2}},1,0,{{Guard2|2}},{{Guard2|3}},Ally,,MAA,inf,inf,Vanguard,Defender,Man-at-Arms
200,Bolster,oooo,oooo,buff,,,0.0,0.0, {{Block}}<br>Stress 5+: {{Stress2|-1}}, {{Block+}}<br>Stress 5+: {{Stress2|-2}},1,0, Stress 5+: {{Stress2|-1}}, Stress 5+: {{Stress2|-2}},Ally,,MAA,inf,inf,Vanguard,Bolster,Man-at-Arms
201,Hold the Line,ooo.,oo..,melee,3-6,4-7,0.1,0.0," {{Block}}, {{Immob}}<br>{{Move2|forward|3}}"," {{Block|2}}, {{Immob|2}}<br>{{Move2|forward|3}}",0,0,,{{StunToken}} When Target {{Combo}} ,,,MAA,inf,inf,Vanguard,Hold the Line,Man-at-Arms
207,Retribution,oooo,self,buff,,,0.0,0.0,"{{Riposte2|2}}, {{Taunt}} x2","{{Riposte2|2}}, {{Taunt}} x2",2,1,,,,,MAA,inf,inf,Vanguard,Retribution,Man-at-Arms
209,Command,oooo,oooo,buff,,,0.0,0.0,,,1,0, {{Blind|remove}}<br>{{Strength}}, {{Blind|remove}}<br>{{Strength|2}},Ally,,MAA,inf,inf,Vanguard,Command,Man-at-Arms
217,Strategic Withdrawal,..oo,oo..,melee,3-6,4-7,0.05,0.1, {{Move2|back|1}}," {{Move2|back|1}}<br>{{SpeedToken}}<br> {{Block+}}, {{HP2|heal|33%}} While on <span class""death-dd2>Death's Door</span>",1,0,{{Combo}},,,,MAA,inf,inf,Vanguard,Strategic Withdrawal,Man-at-Arms
175,Chop,..oo,oo..,melee,6-12,6-16,0.05,0.0,{{Blind}} (75%),{{Blind}} (60%),0,0, Ignores {{Blind}} when Target {{Combo}},,,,Lep,inf,inf,Wanderer,Chop,Leper
176,Chop (Tempest),..oo,oo..,melee,7-15,8-18,0.05,0.0,{{Blind}} (75%),{{Blind}} (60%),0,0, Ignores {{Blind}} when Target {{Combo}} }},,,,Lep,inf,inf,Tempest,Chop,Leper
177,Chop (Poet),..oo,oo..,melee,5-9,6-11,0.05,0.0,{{Blind}} (75%),{{Blind}} (60%),0,0, Ignores {{Blind}} when Target {{Combo}} }},,,,Lep,inf,inf,Poet,Chop,Leper
